Social Gatherings (event-group-299cb6c2-9654-4929-8cf4-53469d4ba2)
2024-08-05T09:00:00.000Z,2.5 hours,
Learn the art of beautiful handwriting with calligraphy pens.,140%,450€
EventHorizon Agency (organizer-ad45a531-92cc-4e6d-9f84-caec4ac3c8),,
Riverside Cabin (location-527450d8-fb49-4661-9642-ad5597ee40),,
Regular Ticket (ticket-ca298efa-5814-4449-8292-bb16a0b0db),20,25€
Deluxe Ticket (ticket-c35e5530-0b86-40cf-bb66-512a3f5da8),10,35€
VIP Ticket (ticket-45d8e883-33b8-4433-883e-add52ac319),5,50€
instructor,Calligraphy artist Lisa Chang,
,,
2024-08-05T08:30:00.000Z,2 hours,
Create personalized home decor items with our DIY workshop.,110%,300€
DreamEvents GmbH (organizer-8140af2f-a5db-4dd2-aaa6-1086a9ec05),,
Seaside Pavilion (location-36f0ec64-2dd3-4513-ade3-53ad6e85ba),,
Regular Ticket (ticket-89acf1aa-3a6d-4097-bb2f-4440ea0c4d),25,25€
Deluxe Ticket (ticket-29ee3942-2391-485a-9ced-226c4adf7c),10,35€
instructor,DIY expert Emily Wilson,
,,
,,
Learning and Skill Development (event-group-7d4004b2-8242-4dc4-95d6-dd997eed74)
Standard Ticket (ticket-tier-18d1bbb1-dba1-4074-9960-f05d2ba392),Includes admission to the workshop.,15€
Premium Ticket (ticket-tier-ae22c38a-58d1-42e2-b171-1ff4eba772),Includes admission plus additional materials.,25€
,,
2024-07-26T15:00:00.000Z,2.5 hours,
Hands-on cooking experience with a focus on Italian dishes.,130%,350€
Starlight Productions GmbH (organizer-3c7c519e-c850-4563-8827-1385cc1ab0),,
Riverside Cabin (location-527450d8-fb49-4661-9642-ad5597ee40),,
Standard Ticket (ticket-d7eb2bd8-35c3-43f6-aeec-dfc966983e),20,20€
Premium Ticket (ticket-542e578b-a02b-4ea0-bf02-cea7adecde),10,30€
chef,Chef Maria Rossi,
,,
2024-07-26T09:00:00.000Z,2 hours,
Explore the city while learning photography tips and techniques.,110%,200€
DreamEvents GmbH (organizer-8140af2f-a5db-4dd2-aaa6-1086a9ec05),,
Riverside Cabin (location-527450d8-fb49-4661-9642-ad5597ee40),,
Standard Ticket (ticket-e439cc00-1595-41a0-92c1-8fcddceb5a),25,20€
Premium Ticket (ticket-a3b0673b-3b80-44ea-9ef1-f97f883f77),10,30€
guide,Photographer Alex Johnson,
,,
2024-07-26T12:00:00.000Z,2 hours,
Learn essential gardening tips for a thriving garden.,100%,180€
Starlight Productions GmbH (organizer-3c7c519e-c850-4563-8827-1385cc1ab0),,
Seaside Pavilion (location-36f0ec64-2dd3-4513-ade3-53ad6e85ba),,
Standard Ticket (ticket-07831871-4b9e-4630-a5de-bf2bf5320f),20,20€
Premium Ticket (ticket-56429b2b-c413-4b8f-95ed-3185251d2b),10,30€
instructor,Gardening expert Mark Johnson,
,,
2024-07-26T13:00:00.000Z,2 hours,
Sample a variety of craft beers and learn about brewing techniques.,120%,250€
GalaWorks Event Management GmbH (organizer-29861f89-6d91-4d47-b2a5-319b00381d),,
Lakeside Lodge (location-71f36516-a431-4ef0-bc70-005fc96816),,
Standard Ticket (ticket-dc07d391-a64a-4c6d-bf9c-b99b3ecf5f),30,20€
Premium Ticket (ticket-a0dfa734-a520-4b5b-b727-89af883561),10,30€
experts,Brewmaster Tom Smith,
,,
2024-07-26T11:00:00.000Z,2 hours,
Learn effective training techniques for your furry friends.,110%,220€
EventHorizon Agency (organizer-ad45a531-92cc-4e6d-9f84-caec4ac3c8),,
Town Hall Courtyard (location-540c25a4-a61f-4d6d-bd9c-55aebcfd00),,
Standard Ticket (ticket-2da3c981-2b48-4ca9-b187-72e196cb65),20,20€
Premium Ticket (ticket-b813f200-c001-46e6-9efa-62f4857164),10,30€
trainer,Dog trainer Max,
,,
,,
Entertainment and Leisure (event-group-d541f479-dad8-4b60-b101-60a7432c4c)
Standard Ticket (ticket-tier-255b39ff-9956-4980-bbad-65180b5e3f),Includes general admission.,8€
VIP Ticket (ticket-tier-68503b89-3db5-45fc-bea8-ddb4473d5f),Includes admission with premium seating.,15€
,,
2024-07-20T18:00:00.000Z,3 hours,
Enjoy live performances by local musicians.,120%,300€
EventHorizon Agency (organizer-ad45a531-92cc-4e6d-9f84-caec4ac3c8),,
Lakeside Pavilion (location-b301c669-89dd-478b-aee0-d10a1b5e4e),,
Standard Ticket (ticket-8c7ac731-7711-4a6f-999a-0d9fcb8b92),40,10€
VIP Ticket (ticket-6e8db8f5-c176-411b-8fca-f5c1b49b1a),10,18€
artists,Singer-songwriter Emily Smith,
,Band: The Jazz Cats,
,,
2024-07-20T17:00:00.000Z,2.5 hours,
Laugh out loud with hilarious stand-up comedians.,130%,250€
DreamEvents GmbH (organizer-8140af2f-a5db-4dd2-aaa6-1086a9ec05),,
Coastal Lighthouse (location-179dc6e4-4aec-466c-bb43-1287a1e3d7),,
Standard Ticket (ticket-3fe93d11-5ef2-4f74-acf3-9164413aaf),30,10€
VIP Ticket (ticket-903310cd-f14c-4e09-9c85-49fae8f30b),10,18€
comedians,Comedian Mike Johnson,
,Comedian Sarah Lee,
,,
2024-07-20T17:30:00.000Z,3 hours,
Watch movies under the stars with friends and family.,140%,350€
Starlight Productions GmbH (organizer-3c7c519e-c850-4563-8827-1385cc1ab0),,
Forest Cabin Retreat (location-e9569db2-dcf2-45d3-b0c0-c811857c34),,
Standard Ticket (ticket-911eea4b-ee7b-4ab4-b5c0-6c71260e00),50,10€
VIP Ticket (ticket-27672188-7a88-44d0-9858-55014f9ac9),20,18€
films,Jurassic Park,
,The Avengers,
,,
2024-07-20T18:30:00.000Z,3 hours,
Sing your heart out with friends at our karaoke party.,120%,250€
DreamEvents GmbH (organizer-8140af2f-a5db-4dd2-aaa6-1086a9ec05),,
Town Hall Courtyard (location-540c25a4-a61f-4d6d-bd9c-55aebcfd00),,
Standard Ticket (ticket-0eeb5f04-ace8-46b7-b193-a0c8fe191d),40,10€
VIP Ticket (ticket-ccb9dcab-d476-49e1-bd50-dc54250101),10,18€
host,Karaoke DJ Kate,
,,
,,
Competitions and Tournaments (event-group-b0afe675-3f03-45d7-96f7-f61dad2233)
Participant Ticket (ticket-tier-78d0d035-677e-4474-b16a-8ac13f93b0),Includes participation in the tournament.,10€
Spectator Ticket (ticket-tier-a9479506-31ef-43e6-9d36-cfe76f37ef),Includes admission as a spectator.,5€
,,
2024-07-22T10:00:00.000Z,4 hours,
Test your strategic skills in our chess tournament.,100%,320€
DreamEvents GmbH (organizer-8140af2f-a5db-4dd2-aaa6-1086a9ec05),,
Forest Retreat Lodge (location-29086e38-6188-46d8-aa35-1607433907),,
Participant Ticket (ticket-4022b891-fb74-4799-be44-3b0e22bc34),20,12€
Spectator Ticket (ticket-79283810-c301-4d08-adf8-28e4d4e670),30,8€
organizer,Chess Club,
,,
,,
